run name,run,AP_coat_best_value,AP_coat_best_epoch,Precision_coat_best_value,Precision_coat_best_epoch,Recall_coat_best_value,Recall_coat_best_epoch,AP_no-coat_best_value,AP_no-coat_best_epoch,Precision_no-coat_best_value,Precision_no-coat_best_epoch,Recall_no-coat_best_value,Recall_no-coat_best_epoch,AP_eyewear_best_value,AP_eyewear_best_epoch,Precision_eyewear_best_value,Precision_eyewear_best_epoch,Recall_eyewear_best_value,Recall_eyewear_best_epoch,AP_no-eyewear_best_value,AP_no-eyewear_best_epoch,Precision_no-eyewear_best_value,Precision_no-eyewear_best_epoch,Recall_no-eyewear_best_value,Recall_no-eyewear_best_epoch,AP_gloves_best_value,AP_gloves_best_epoch,Precision_gloves_best_value,Precision_gloves_best_epoch,Recall_gloves_best_value,Recall_gloves_best_epoch,AP_no-gloves_best_value,AP_no-gloves_best_epoch,Precision_no-gloves_best_value,Precision_no-gloves_best_epoch,Recall_no-gloves_best_value,Recall_no-gloves_best_epoch,Precision_Overall_best_value,Precision_Overall_best_epoch,Recall_Overall_best_value,Recall_Overall_best_epoch,Total_Loss_Train_best_value,Total_Loss_Train_best_epoch,Total_Loss_Val_best_value,Total_Loss_Val_best_epoch,BCE_Loss_Train_best_value,BCE_Loss_Train_best_epoch,IoU_Loss_Train_best_value,IoU_Loss_Train_best_epoch,Objectness_Loss_Train_best_value,Objectness_Loss_Train_best_epoch,mAP_>50_best_value,mAP_>50_best_epoch,BCE_Loss_Val_best_value,BCE_Loss_Val_best_epoch,IoU_Loss_Val_best_value,IoU_Loss_Val_best_epoch,Objectness_Loss_Val_best_value,Objectness_Loss_Val_best_epoch
yolox_m_dndata_723_s.txt_bs8_lr1e-04_07-24_02,199,0.9033970236778259,6,0.9772727489471436,196,0.9554455280303955,6,0.5534393787384033,1,1.0,13,0.5945945978164673,7,0.10294117778539658,13,1.0,2,0.14705882966518402,13,0.25,12,1.0,3,0.375,21,0.5623543858528137,36,1.0,1,0.6538461446762085,36,0.6126262545585632,46,1.0,0,0.75,7,0.880804717540741,112,0.5057277679443359,45,0.011290289461612701,199,0.07749859988689423,30,0.00010202699195360765,191,0.37400245666503906,191,0.004543381277471781,191,0.43306535482406616,45,0.18374738097190857,141,1.6069196462631226,24,0.024881798774003983,13
yolox_s_uaTrue_transformsTrue_dn(data_556_s.txt)_nc6_ep200_bs8_lr1e-04_wd5e-04_07-30_15,199,0.9067878127098083,57,0.931034505367279,128,0.9356435537338257,44,0.5747311115264893,47,1.0,1,0.6216216087341309,81,0.2312091588973999,81,1.0,16,0.2647058963775635,81,0.25,16,1.0,15,0.375,48,0.5612677335739136,188,1.0,1,0.7307692170143127,95,0.44999998807907104,87,1.0,10,0.625,107,0.6756332516670227,47,0.5174646377563477,107,0.018902966752648354,199,0.08718997985124588,162,0.0006968972738832235,198,0.6896476149559021,199,0.012729007750749588,199,0.414050430059433,132,0.14071956276893616,55,1.838804841041565,190,0.023111656308174133,136
yolox_m_uaTrue_transformsTrue_dn(data_389.txt)_nc6_ep200_bs8_lr1e-04_wd5e-04_07-31_01,199,0.9037081599235535,33,0.9356725215911865,198,0.9356435537338257,22,0.6194285750389099,2,1.0,0,0.7027027010917664,2,0.1759103685617447,86,0.7272727489471436,163,0.23529411852359772,84,0.375,66,1.0,15,0.5,113,0.5483729839324951,162,1.0,1,0.692307710647583,105,0.4166666865348816,91,0.5714285969734192,81,0.75,35,0.6022728085517883,107,0.5277876257896423,46,0.016319923102855682,198,0.08100627362728119,188,0.0002013197517953813,196,0.46085625886917114,199,0.008256813511252403,199,0.3841112554073334,92,0.14848874509334564,15,1.7114650011062622,192,0.025513365864753723,32
yolox_s_uaTrue_transformsTrue_dn(data_393_s.txt)_nc6_ep200_bs8_lr1e-04_wd5e-04_07-30_14,199,0.8873693346977234,30,0.8720930218696594,10,0.9306930899620056,87,0.5602846741676331,99,1.0,194,0.6216216087341309,49,0.2519634962081909,99,1.0,10,0.29411765933036804,99,0.32499998807907104,87,0.5,75,0.5,84,0.5481806993484497,86,1.0,1,0.7692307829856873,84,0.5,187,1.0,87,0.625,16,0.6695635318756104,194,0.543380856513977,99,0.018818993121385574,199,0.08926727622747421,186,0.0014159602578729391,197,0.7659708261489868,199,0.016423512250185013,199,0.43267303705215454,99,0.19566932320594788,173,1.8089433908462524,187,0.02558867819607258,107
yolox_s_dndata_748.txt_bs8_lr1e-04_07-22_19,199,0.9080076813697815,20,0.9312499761581421,197,0.9356435537338257,25,0.5613563656806946,20,1.0,38,0.5945945978164673,9,0.1348039209842682,41,1.0,10,0.23529411852359772,23,0.3125,34,1.0,117,0.375,13,0.5446620583534241,95,1.0,2,0.7307692170143127,63,0.682692289352417,22,1.0,162,0.75,17,0.6881442666053772,123,0.5603840351104736,52,0.009566525928676128,195,0.08236207067966461,26,2.051222872978542e-05,196,0.2680824398994446,195,0.0030722697265446186,190,0.4483153820037842,32,0.1836421936750412,12,1.6436654329299927,26,0.022705940529704094,32
yolox_m_dndata_393_s.txt_bs8_lr1e-04_07-24_00,199,0.8978519439697266,7,0.9666666388511658,174,0.9455445408821106,7,0.6036133170127869,8,1.0,23,0.7567567825317383,6,0.12876400351524353,9,1.0,15,0.2647058963775635,9,0.296875,22,1.0,43,0.375,14,0.5161349773406982,66,0.699999988079071,180,0.692307710647583,39,0.4261363744735718,39,1.0,112,0.625,18,0.7126272320747375,157,0.489493191242218,22,0.014184726402163506,172,0.08774622529745102,6,0.0003279060765635222,161,0.6009789109230042,172,0.007259995676577091,194,0.3642835021018982,39,0.2535848319530487,22,1.739672064781189,6,0.026054484769701958,9
yolox_s_dndata_389.txt_bs8_lr1e-04_07-22_10,199,0.8737983703613281,16,0.9096385836601257,65,0.9009901285171509,11,0.5330188274383545,16,1.0,14,0.5405405163764954,16,0.11861668527126312,23,0.75,26,0.1764705926179886,23,0.2083333432674408,69,1.0,21,0.25,17,0.5079922080039978,39,0.875,4,0.6538461446762085,39,0.4375,90,1.0,11,0.625,127,0.7246171236038208,21,0.4327104389667511,43,0.010146230459213257,196,0.08808733522891998,55,4.796755820279941e-05,142,0.28795650601387024,196,0.0031635058112442493,199,0.3749381899833679,43,0.29838821291923523,63,1.7532234191894531,43,0.025556446984410286,25
yolox_s_dndata_393_s.txt_bs8_lr1e-04_07-22_11,199,0.8353251814842224,17,0.9586777091026306,178,0.8663366436958313,32,0.4044899046421051,22,1.0,49,0.45945945382118225,22,0.1295626014471054,125,0.75,74,0.20588235557079315,125,0.25,13,1.0,11,0.25,12,0.5040292739868164,25,0.8181818127632141,10,0.6538461446762085,54,0.4598214328289032,122,0.75,104,0.75,30,0.608052670955658,81,0.4533746838569641,34,0.015488596633076668,194,0.09403721243143082,55,0.00023326833616010845,198,0.6390800476074219,175,0.006075761280953884,198,0.37511318922042847,34,0.34649839997291565,53,1.818825125694275,55,0.02655397355556488,32
yolox_s_dndata_553.txt_bs8_lr1e-04_07-22_12,199,0.8707734942436218,20,0.9216867685317993,159,0.9009901285171509,20,0.527896523475647,6,1.0,35,0.5675675868988037,6,0.2093425691127777,31,1.0,11,0.3235294222831726,31,0.125,10,0.5,137,0.25,30,0.5028773546218872,89,1.0,2,0.6538461446762085,55,0.4912280738353729,33,0.6666666865348816,117,0.625,15,0.7084177732467651,101,0.45666348934173584,29,0.008790699765086174,189,0.08177357912063599,28,3.160707274219021e-05,199,0.24301210045814514,189,0.0031372387893497944,198,0.3804457187652588,31,0.2335246056318283,69,1.6868200302124023,28,0.02602420188486576,33
yolox_m_dndata_556_s.txt_bs8_lr1e-04_07-24_01,199,0.9206619262695312,9,0.9627329111099243,110,0.9455445408821106,9,0.5771396160125732,4,1.0,12,0.5945945978164673,4,0.23190046846866608,28,1.0,3,0.2647058963775635,28,0.375,28,1.0,32,0.375,12,0.4935897886753082,29,0.6428571343421936,28,0.6538461446762085,59,0.4583333432674408,66,1.0,43,0.625,10,0.8500816822052002,178,0.46429628133773804,10,0.012273195199668407,179,0.07942470908164978,36,0.00020622980082407594,183,0.44459062814712524,197,0.005442827008664608,185,0.40982192754745483,29,0.17890006303787231,14,1.633179783821106,22,0.02317631244659424,9
yolox_s_dndata_556_s.txt_bs8_lr1e-04_07-22_12,199,0.8714697957038879,16,0.9276315569877625,95,0.9009901285171509,8,0.479830265045166,9,1.0,25,0.5405405163764954,8,0.19831933081150055,33,1.0,9,0.23529411852359772,33,0.25,29,1.0,47,0.25,10,0.4923451542854309,38,0.75,17,0.6153846383094788,75,0.6041666269302368,147,1.0,0,0.625,35,0.7646024227142334,159,0.4531153738498688,79,0.013951924629509449,199,0.0860377848148346,29,0.00018644053488969803,185,0.5053382515907288,188,0.00449518533423543,199,0.4100346267223358,34,0.1957714706659317,35,1.7494499683380127,39,0.02473224140703678,32
yolox_m_dndata_553.txt_bs8_lr1e-04_07-24_00,199,0.9087960124015808,3,0.9186046719551086,66,0.9306930899620056,3,0.5639303922653198,6,1.0,21,0.5945945978164673,3,0.15294116735458374,16,1.0,52,0.20588235557079315,16,0.25,90,1.0,34,0.25,69,0.4884456992149353,12,1.0,1,0.6153846383094788,12,0.625,67,1.0,78,0.875,24,0.7757142186164856,96,0.4840041399002075,24,0.008857241831719875,173,0.07835151255130768,31,3.146875314996578e-05,176,0.24270035326480865,173,0.0034966780804097652,178,0.4066615104675293,16,0.234565868973732,33,1.5953410863876343,14,0.024620557203888893,14
yolox_s_dndata_723_s.txt_bs8_lr1e-04_07-22_18,199,0.8871572017669678,25,0.9722222089767456,169,0.9108911156654358,10,0.4836415648460388,7,1.0,0,0.5135135054588318,4,0.13235294818878174,26,1.0,5,0.1764705926179886,29,0.125,31,1.0,35,0.25,14,0.4799145460128784,61,1.0,0,0.6153846383094788,66,0.6083333492279053,33,1.0,148,0.75,14,0.7610182166099548,35,0.46703100204467773,14,0.01130880881100893,180,0.0811600461602211,40,0.00015983435150701553,191,0.38103845715522766,178,0.004379349760711193,189,0.38933444023132324,40,0.16991117596626282,21,1.7016961574554443,40,0.025100218132138252,38
yolox_m_uaTrue_transformsTrue_dn(B10train.txt)_nc6_ep200_bs8_lr1e-04_wd5e-04_07-31_02,199,0.8726546764373779,11,0.9539473652839661,185,0.9455445408821106,11,0.23783783614635468,119,1.0,1,0.2432432472705841,5,0.11176470667123795,140,1.0,28,0.11764705926179886,140,0.0,0,0.0,0,0.0,0,0.4053254723548889,126,1.0,0,0.5,83,0.3125,30,1.0,25,0.5,27,0.6681881546974182,30,0.295238733291626,144,0.01491093635559082,198,0.09314413368701935,119,0.00014682799519505352,199,0.33343246579170227,198,0.005628170911222696,198,0.25219273567199707,30,0.3077571988105774,42,1.8490835428237915,197,0.026546018198132515,51
yolox_s_uaTrue_transformsTrue_dn(B10train.txt)_nc6_ep200_bs8_lr1e-04_wd5e-04_07-30_05,199,0.8835810422897339,25,0.9629629850387573,199,0.9207921028137207,25,0.1419067531824112,75,1.0,17,0.18918919563293457,75,0.1764705926179886,62,1.0,33,0.1764705926179886,62,0.0,0,0.0,0,0.0,0,0.37350428104400635,112,1.0,1,0.4615384638309479,109,0.25,65,1.0,7,0.25,21,0.7115209698677063,143,0.2685887813568115,62,0.01624012552201748,198,0.09566760808229446,189,0.00023257426801137626,197,0.35899388790130615,198,0.006923813838511705,199,0.24843049049377441,62,0.44670936465263367,86,1.827690601348877,189,0.029680714011192322,18
yolox_s_dnB10train.txt_bs8_lr1e-04_07-22_10,199,0.8534970283508301,57,0.9615384340286255,125,0.8811880946159363,12,0.054054055362939835,25,1.0,19,0.0810810774564743,31,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.22970086336135864,51,1.0,0,0.26923078298568726,51,0.0,0,0.0,0,0.0,0,0.4843462109565735,61,0.1883692592382431,51,0.01000493299216032,159,0.09482564777135849,52,2.464895987941418e-05,191,0.22429634630680084,159,0.0024351535830646753,187,0.17741231620311737,53,0.6475726366043091,197,1.785012125968933,52,0.030603010207414627,20
yolox_m_dnB10train.txt_bs8_lr1e-04_07-23_22,199,0.8778589367866516,13,0.9634146094322205,72,0.9158415794372559,13,0.07432432472705841,8,1.0,2,0.10810811072587967,21,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.19230768084526062,36,1.0,3,0.19230769574642181,36,0.0416666679084301,11,0.3333333432674408,11,0.125,11,0.5229095220565796,11,0.1830979883670807,21,0.008980555459856987,195,0.09308749437332153,21,4.561317109619267e-05,136,0.2016245275735855,195,0.00209047831594944,193,0.17397205531597137,21,0.6042262315750122,21,1.7106536626815796,50,0.02942909114062786,9
yolox_m_nopretrained_07-24_11,299,0.638266921043396,259,0.8235294222831726,34,0.7227723002433777,64,0.0810810849070549,49,1.0,37,0.13513512909412384,131,0.04901960864663124,87,1.0,75,0.0882352963089943,99,0.1666666716337204,134,1.0,62,0.25,134,0.14615385234355927,221,0.5,73,0.23076923191547394,243,0.125,76,1.0,231,0.125,73,0.536008894443512,282,0.19781088829040527,186,0.016787895932793617,284,0.15913967788219452,209,0.0004615963262040168,268,0.5178542733192444,284,0.01339376624673605,297,0.1652473509311676,204,0.31462639570236206,37,2.3569886684417725,288,0.033115312457084656,98
yolox_s_nopretrained_07-24_09,299,0.5926443934440613,292,1.0,42,0.6930692791938782,158,0.10810811072587967,102,1.0,46,0.13513512909412384,78,0.0882352963089943,217,1.0,102,0.0882352963089943,148,0.0,0,0.0,0,0.0,0,0.14615385234355927,204,0.375,268,0.1538461595773697,174,0.25,120,1.0,92,0.25,120,0.6574972867965698,265,0.19617050886154175,256,0.017132548615336418,286,0.16088621318340302,167,0.000620804843492806,290,0.5293418765068054,293,0.016791384667158127,286,0.156538724899292,256,0.42889028787612915,36,2.45650315284729,167,0.03818097710609436,149
yolox_m_uaTrue_transformsTrue_dn(s.txt)_nc6_ep200_bs8_lr1e-04_wd5e-04_07-31_03,199,0.47076866030693054,8,0.8153846263885498,187,0.5643564462661743,8,0.12039312720298767,128,0.4615384638309479,15,0.18918919563293457,92,0.014705882407724857,115,0.5,117,0.029411764815449715,111,0.0416666679084301,101,0.125,101,0.125,101,0.039835166186094284,188,0.07692307978868484,192,0.1538461595773697,92,0.06587837636470795,109,0.25,70,0.375,128,0.1771891862154007,117,0.16814614832401276,92,0.019519377499818802,199,0.15815573930740356,7,0.0032862070947885513,199,1.0970054864883423,199,0.019268754869699478,199,0.08910167217254639,7,1.7602893114089966,8,2.3231217861175537,7,0.041616179049015045,9
yolox_s_uaTrue_transformsTrue_dn(s.txt)_nc6_ep200_bs8_lr1e-04_wd5e-04_07-30_04,199,0.5122478008270264,49,0.8539325594902039,93,0.5891088843345642,49,0.09909910708665848,131,0.5,49,0.21621622145175934,33,0.014705882407724857,1,0.5,1,0.029411764815449715,1,0.0,0,0.0,0,0.0,0,0.03846153989434242,41,0.05128205195069313,26,0.1538461595773697,44,0.2083333432674408,45,0.1666666716337204,1,0.375,74,0.21604938805103302,1,0.16031208634376526,86,0.020013071596622467,199,0.23475618660449982,139,0.0016475571319460869,199,1.1147085428237915,199,0.01790250837802887,199,0.09855031222105026,49,1.5521999597549438,119,2.557788133621216,197,0.03908040374517441,35
yolox_m_dns.txt_bs8_lr1e-04_07-23_22,199,0.3810172975063324,23,0.8536585569381714,65,0.42574256658554077,9,0.036036036908626556,19,0.25,23,0.13513512909412384,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.01923076994717121,10,0.04109589010477066,8,0.11538461595773697,7,0.125,9,0.0833333358168602,1,0.25,13,0.16085916757583618,23,0.11465130746364594,13,0.015826279297471046,151,0.17370185256004333,42,0.0003979650209657848,167,0.9167302250862122,158,0.006741146557033062,160,0.08832745999097824,9,3.170559883117676,6,2.21596360206604,42,0.04366060718894005,17
yolox_s_dns.txt_bs8_lr1e-04_07-22_10,199,0.5230708718299866,0,0.8970588445663452,61,0.6534653306007385,0,0.05180180445313454,7,0.20000000298023224,6,0.1621621549129486,15,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0028846156783401966,66,0.0234375,66,0.11538461595773697,66,0.0625,7,0.20000000298023224,4,0.125,3,0.1845141351222992,6,0.12692891061306,0,0.0180546585470438,199,0.19577674567699432,19,0.0004759625007864088,199,1.0050604343414307,164,0.0057922182604670525,199,0.08860848844051361,0,2.3394641876220703,1,2.346665859222412,61,0.04467522352933884,30